; Sample Rate 8000
; Channels 2
               0  -0.027898792177 -0.027898792177 
        0.000125    0.39566540159   0.39566540159 
         0.00025  -0.060015249066 -0.060015249066 
        0.000375   -0.43309077667  -0.43309077667 
          0.0005    0.62543268688   0.62543268688 
        0.000625   -0.37884948123  -0.37884948123 
         0.00075  -0.069879946765 -0.069879946765 
        0.000875    0.39677613787   0.39677613787 
           0.001    0.10734641831   0.10734641831 
        0.001125    0.57512037316   0.57512037316 
         0.00125    0.11892901501   0.11892901501 
        0.001375    0.14702009317   0.14702009317 
          0.0015    0.29788135132   0.29788135132 
        0.001625   -0.24379843101  -0.24379843101 
         0.00175   -0.23222315963  -0.23222315963 
        0.001875   -0.18009372568  -0.18009372568 
           0.002  -0.027779640164 -0.027779640164 
        0.002125    0.35501121962   0.35501121962 
         0.00225   -0.28398267319  -0.28398267319 
        0.002375   -0.45367454877  -0.45367454877 
          0.0025    0.41204680176   0.41204680176 
        0.002625   0.069698445033  0.069698445033 
         0.00275   -0.17619616399  -0.17619616399 
        0.002875    0.25006244192   0.25006244192 
           0.003     0.1051500109    0.1051500109 
        0.003125    0.50508409413   0.50508409413 
         0.00325    0.62873241398   0.62873241398 
        0.003375    0.53119945666   0.53119945666 
          0.0035    0.36148447171   0.36148447171 
        0.003625   -0.50174038718  -0.50174038718 
         0.00375   -0.42718128022  -0.42718128022 
        0.003875     0.1727238493    0.1727238493 
           0.004   -0.20601291955  -0.20601291955 
        0.004125    0.12926106667   0.12926106667 
         0.00425   -0.11833410198  -0.11833410198 
        0.004375   -0.35195412114  -0.35195412114 
          0.0045    0.17330947425   0.17330947425 
        0.004625   0.067977330647  0.067977330647 
         0.00475    0.20268770726   0.20268770726 
        0.004875    0.37208379852   0.37208379852 
           0.005    0.51791228307   0.51791228307 
        0.005125    0.37162935641   0.37162935641 
         0.00525    0.20359857334   0.20359857334 
        0.005375   0.066606005654  0.066606005654 
          0.0055     0.1751462142    0.1751462142 
        0.005625   -0.35426127724  -0.35426127724 
         0.00575   -0.11555253761  -0.11555253761 
        0.005875    0.12600359321   0.12600359321 
           0.006   -0.20228214515  -0.20228214515 
        0.006125    0.16852863925   0.16852863925 
         0.00625   -0.42253801227  -0.42253801227 
        0.006375   -0.50680521969  -0.50680521969 
          0.0065    0.36693307804   0.36693307804 
        0.006625     0.5254177032    0.5254177032 
         0.00675    0.63478166098   0.63478166098 
        0.006875    0.49884889927   0.49884889927 
           0.007    0.11147269839   0.11147269839 
        0.007125    0.24376840377   0.24376840377 
         0.00725   -0.17006461695  -0.17006461695 
        0.007375   0.063881320413  0.063881320413 
          0.0075     0.4173798929    0.4173798929 
        0.007625    -0.4583376334   -0.4583376334 
         0.00775   -0.28019155469  -0.28019155469 
        0.007875    0.35230791196   0.35230791196 
           0.008  -0.026392994914 -0.026392994914 
        0.008125   -0.17992406012  -0.17992406012 
         0.00825    -0.2341979919   -0.2341979919 
        0.008375   -0.23976192018  -0.23976192018 
          0.0085    0.29152036179   0.29152036179 
        0.008625    0.15597396903   0.15597396903 
         0.00875    0.10710744467   0.10710744467 
        0.008875    0.59009202756   0.59009202756 
           0.009   0.088930156082  0.088930156082 
        0.009125    0.41895047296   0.41895047296 
         0.00925  -0.096157487016 -0.096157487016 
        0.009375    -0.3480739058   -0.3480739058 
          0.0095    0.58969072625   0.58969072625 
        0.009625   -0.39183313958  -0.39183313958 
         0.00975   -0.10726503795  -0.10726503795 
        0.009875    0.44780980516   0.44780980516 
            0.01  -0.054732341785 -0.054732341785 
        0.010125     0.4478007853    0.4478007853 
         0.01025   -0.10724695912  -0.10724695912 
        0.010375   -0.39186030673  -0.39186030673 
          0.0105    0.58972701803   0.58972701803 
        0.010625   -0.34811928356  -0.34811928356 
         0.01075   -0.09610319417  -0.09610319417 
        0.010875    0.41888762731   0.41888762731 
           0.011   0.089000904933  0.089000904933 
        0.011125    0.59001440182   0.59001440182 
         0.01125    0.10719045857   0.10719045857 
        0.011375    0.15588760795   0.15588760795 
          0.0115    0.29160740785   0.29160740785 
        0.011625   -0.23984631198  -0.23984631198 
         0.01175    -0.2341203629   -0.2341203629 
        0.011875    -0.1799900718   -0.1799900718 
           0.012  -0.026344239246 -0.026344239246 
        0.012125    0.35228278069   0.35228278069 
         0.01225   -0.28019707417  -0.28019707417 
        0.012375    -0.4582938836   -0.4582938836 
          0.0125    0.41728997976   0.41728997976 
        0.012625   0.064025514759  0.064025514759 
         0.01275   -0.17027112376  -0.17027112376 
        0.012875    0.24404486595   0.24404486595 
           0.013    0.11111937184   0.11111937184 
        0.013125    0.49928489141   0.49928489141 
         0.01325    0.63425872289   0.63425872289 
        0.013375    0.52602989459   0.52602989459 
          0.0135    0.36623171903   0.36623171903 
        0.013625   -0.50601763977  -0.50601763977 
         0.01375   -0.42340561049  -0.42340561049 
        0.013875    0.16946639307   0.16946639307 
           0.014   -0.20327623002  -0.20327623002 
        0.014125    0.12703594193   0.12703594193 
         0.01425   -0.11660070624  -0.11660070624 
        0.014375   -0.35322417133  -0.35322417133 
          0.0145    0.17415142339   0.17415142339 
        0.014625   0.067523088772  0.067523088772 
         0.01475    0.20279833023   0.20279833023 
